group_col,group_value,n,default_rate_true,acceptance_rate,refusal_rate,FPR,FNR
AGE_YEARS,36.97,64,0.125,0.59375,0.40625,0.3392857142857143,0.125
AGE_YEARS,36.53,63,0.12698412698412698,0.6349206349206349,0.36507936507936506,0.2909090909090909,0.125
AGE_YEARS,43.2,63,0.07936507936507936,0.7777777777777778,0.2222222222222222,0.1896551724137931,0.4
AGE_YEARS,35.03,63,0.06349206349206349,0.7142857142857143,0.2857142857142857,0.2711864406779661,0.5
AGE_YEARS,44.94,63,0.06349206349206349,0.746031746031746,0.25396825396825395,0.2033898305084746,0.0
AGE_YEARS,35.38,63,0.07936507936507936,0.6507936507936508,0.3492063492063492,0.3275862068965517,0.4
AGE_YEARS,49.88,63,0.09523809523809523,0.7301587301587301,0.2698412698412698,0.2631578947368421,0.6666666666666666
AGE_YEARS,46.38,63,0.07936507936507936,0.746031746031746,0.25396825396825395,0.20689655172413793,0.2
AGE_YEARS,40.47,63,0.09523809523809523,0.6507936507936508,0.3492063492063492,0.2982456140350877,0.16666666666666666
AGE_YEARS,39.72,63,0.06349206349206349,0.746031746031746,0.25396825396825395,0.23728813559322035,0.5
AGE_YEARS,38.47,63,0.07936507936507936,0.746031746031746,0.25396825396825395,0.2413793103448276,0.6
AGE_YEARS,38.7,63,0.047619047619047616,0.6825396825396826,0.31746031746031744,0.3,0.3333333333333333
AGE_YEARS,59.12,63,0.06349206349206349,0.7936507936507936,0.20634920634920634,0.1864406779661017,0.5
AGE_YEARS,32.38,63,0.031746031746031744,0.746031746031746,0.25396825396825395,0.22950819672131148,0.0
AGE_YEARS,57.62,62,0.08064516129032258,0.8548387096774194,0.14516129032258066,0.10526315789473684,0.4
AGE_YEARS,34.38,62,0.0967741935483871,0.6612903225806451,0.3387096774193548,0.2857142857142857,0.16666666666666666
AGE_YEARS,40.1,62,0.08064516129032258,0.7741935483870968,0.22580645161290322,0.21052631578947367,0.6
AGE_YEARS,38.34,62,0.12903225806451613,0.6290322580645161,0.3709677419354839,0.2777777777777778,0.0
AGE_YEARS,37.53,62,0.016129032258064516,0.8064516129032258,0.1935483870967742,0.19672131147540983,1.0
AGE_YEARS,64.8,62,0.08064516129032258,0.7903225806451613,0.20967741935483872,0.19298245614035087,0.6
AGE_YEARS,34.97,62,0.08064516129032258,0.5645161290322581,0.43548387096774194,0.42105263157894735,0.4
AGE_YEARS,53.12,62,0.03225806451612903,0.6935483870967742,0.3064516129032258,0.2833333333333333,0.0
AGE_YEARS,41.5,62,0.0967741935483871,0.6451612903225806,0.3548387096774194,0.2857142857142857,0.0
AGE_YEARS,41.88,62,0.04838709677419355,0.7580645161290323,0.24193548387096775,0.22033898305084745,0.3333333333333333
AGE_YEARS,53.62,61,0.04918032786885246,0.7704918032786885,0.22950819672131148,0.20689655172413793,0.3333333333333333
AGE_YEARS,64.44,61,0.03278688524590164,0.7868852459016393,0.21311475409836064,0.1864406779661017,0.0
AGE_YEARS,51.62,61,0.06557377049180328,0.8524590163934426,0.14754098360655737,0.10526315789473684,0.25
AGE_YEARS,45.62,61,0.09836065573770492,0.6229508196721312,0.3770491803278688,0.3090909090909091,0.0
AGE_YEARS,36.12,61,0.06557377049180328,0.7377049180327869,0.26229508196721313,0.24561403508771928,0.5
AGE_YEARS,52.12,61,0.03278688524590164,0.7377049180327869,0.26229508196721313,0.2542372881355932,0.5
AGE_YEARS,40.44,61,0.08196721311475409,0.6557377049180327,0.3442622950819672,0.30357142857142855,0.2
AGE_YEARS,41.2,61,0.03278688524590164,0.7049180327868853,0.29508196721311475,0.3050847457627119,1.0
AGE_YEARS,38.22,61,0.08196721311475409,0.6885245901639344,0.3114754098360656,0.2857142857142857,0.4
AGE_YEARS,37.25,61,0.09836065573770492,0.639344262295082,0.36065573770491804,0.3090909090909091,0.16666666666666666
AGE_YEARS,37.7,61,0.0,0.5573770491803278,0.4426229508196721,0.4426229508196721,
AGE_YEARS,37.47,61,0.09836065573770492,0.639344262295082,0.36065573770491804,0.3090909090909091,0.16666666666666666
AGE_YEARS,38.97,61,0.13114754098360656,0.639344262295082,0.36065573770491804,0.2830188679245283,0.125
AGE_YEARS,38.78,61,0.08196721311475409,0.6557377049180327,0.3442622950819672,0.32142857142857145,0.4
AGE_YEARS,37.1,61,0.08196721311475409,0.6885245901639344,0.3114754098360656,0.26785714285714285,0.2
AGE_YEARS,41.53,61,0.06557377049180328,0.7377049180327869,0.26229508196721313,0.22807017543859648,0.25
AGE_YEARS,42.6,61,0.03278688524590164,0.7377049180327869,0.26229508196721313,0.2711864406779661,1.0
AGE_YEARS,39.34,60,0.08333333333333333,0.6833333333333333,0.31666666666666665,0.2727272727272727,0.2
AGE_YEARS,56.62,60,0.05,0.8333333333333334,0.16666666666666666,0.15789473684210525,0.6666666666666666
AGE_YEARS,55.88,60,0.05,0.7666666666666667,0.23333333333333334,0.19298245614035087,0.0
AGE_YEARS,33.84,60,0.08333333333333333,0.6666666666666666,0.3333333333333333,0.2909090909090909,0.2
AGE_YEARS,32.62,60,0.08333333333333333,0.5166666666666667,0.48333333333333334,0.45454545454545453,0.2
AGE_YEARS,36.94,60,0.05,0.65,0.35,0.3333333333333333,0.3333333333333333
AGE_YEARS,42.28,60,0.1,0.7,0.3,0.24074074074074073,0.16666666666666666
AGE_YEARS,34.88,60,0.08333333333333333,0.7333333333333333,0.26666666666666666,0.23636363636363636,0.4
AGE_YEARS,53.38,60,0.03333333333333333,0.7666666666666667,0.23333333333333334,0.20689655172413793,0.0
AGE_YEARS,43.6,60,0.11666666666666667,0.6666666666666666,0.3333333333333333,0.2830188679245283,0.2857142857142857
AGE_YEARS,54.12,60,0.05,0.8333333333333334,0.16666666666666666,0.14035087719298245,0.3333333333333333
AGE_YEARS,47.38,60,0.1,0.8,0.2,0.16666666666666666,0.5
AGE_YEARS,45.38,60,0.06666666666666667,0.7666666666666667,0.23333333333333334,0.19642857142857142,0.25
AGE_YEARS,48.38,60,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.26,0.3
AGE_YEARS,47.62,60,0.06666666666666667,0.7166666666666667,0.2833333333333333,0.26785714285714285,0.5
AGE_YEARS,37.75,59,0.05084745762711865,0.711864406779661,0.288135593220339,0.25,0.0
AGE_YEARS,64.4,59,0.03389830508474576,0.8813559322033898,0.11864406779661017,0.12280701754385964,1.0
AGE_YEARS,56.38,59,0.05084745762711865,0.7966101694915254,0.2033898305084746,0.17857142857142858,0.3333333333333333
AGE_YEARS,36.0,59,0.0847457627118644,0.6440677966101694,0.3559322033898305,0.35185185185185186,0.6
AGE_YEARS,35.22,59,0.15254237288135594,0.5084745762711864,0.4915254237288136,0.44,0.2222222222222222
AGE_YEARS,33.1,59,0.03389830508474576,0.5932203389830508,0.4067796610169492,0.38596491228070173,0.0
AGE_YEARS,34.53,59,0.0847457627118644,0.6779661016949152,0.3220338983050847,0.2777777777777778,0.2
AGE_YEARS,41.97,59,0.01694915254237288,0.7966101694915254,0.2033898305084746,0.1896551724137931,0.0
AGE_YEARS,47.56,59,0.0847457627118644,0.6610169491525424,0.3389830508474576,0.3148148148148148,0.4
AGE_YEARS,54.38,59,0.1016949152542373,0.7796610169491526,0.22033898305084745,0.16981132075471697,0.3333333333333333
AGE_YEARS,35.66,58,0.10344827586206896,0.5689655172413793,0.43103448275862066,0.40384615384615385,0.3333333333333333
AGE_YEARS,39.4,58,0.06896551724137931,0.7413793103448276,0.25862068965517243,0.25925925925925924,0.75
AGE_YEARS,39.03,58,0.1724137931034483,0.6896551724137931,0.3103448275862069,0.22916666666666666,0.3
AGE_YEARS,59.62,58,0.034482758620689655,0.8103448275862069,0.1896551724137931,0.17857142857142858,0.5
AGE_YEARS,36.75,58,0.15517241379310345,0.603448275862069,0.39655172413793105,0.3469387755102041,0.3333333333333333
AGE_YEARS,38.06,58,0.08620689655172414,0.6896551724137931,0.3103448275862069,0.3018867924528302,0.6
AGE_YEARS,32.25,58,0.13793103448275862,0.5689655172413793,0.43103448275862066,0.34,0.0
AGE_YEARS,43.56,58,0.08620689655172414,0.6896551724137931,0.3103448275862069,0.2830188679245283,0.4
AGE_YEARS,43.12,58,0.06896551724137931,0.6379310344827587,0.3620689655172414,0.3333333333333333,0.25
AGE_YEARS,44.25,58,0.08620689655172414,0.6724137931034483,0.3275862068965517,0.3018867924528302,0.4
AGE_YEARS,39.1,58,0.05172413793103448,0.603448275862069,0.39655172413793105,0.36363636363636365,0.0
AGE_YEARS,43.88,58,0.06896551724137931,0.7068965517241379,0.29310344827586204,0.24074074074074073,0.0
AGE_YEARS,54.94,58,0.06896551724137931,0.7758620689655172,0.22413793103448276,0.16666666666666666,0.0
AGE_YEARS,40.25,58,0.05172413793103448,0.7068965517241379,0.29310344827586204,0.2545454545454545,0.0
AGE_YEARS,32.22,58,0.1206896551724138,0.5862068965517241,0.41379310344827586,0.37254901960784315,0.2857142857142857
AGE_YEARS,64.3,57,0.05263157894736842,0.7894736842105263,0.21052631578947367,0.2222222222222222,1.0
AGE_YEARS,39.2,57,0.10526315789473684,0.6491228070175439,0.3508771929824561,0.3137254901960784,0.3333333333333333
AGE_YEARS,33.38,57,0.12280701754385964,0.6491228070175439,0.3508771929824561,0.28,0.14285714285714285
AGE_YEARS,37.2,57,0.10526315789473684,0.631578947368421,0.3684210526315789,0.3137254901960784,0.16666666666666666
AGE_YEARS,32.3,57,0.14035087719298245,0.5614035087719298,0.43859649122807015,0.3469387755102041,0.0
AGE_YEARS,39.8,57,0.08771929824561403,0.7017543859649122,0.2982456140350877,0.23076923076923078,0.0
AGE_YEARS,36.5,57,0.10526315789473684,0.5964912280701754,0.40350877192982454,0.37254901960784315,0.3333333333333333
AGE_YEARS,41.7,57,0.03508771929824561,0.7719298245614035,0.22807017543859648,0.2,0.0
AGE_YEARS,39.53,57,0.14035087719298245,0.6140350877192983,0.38596491228070173,0.32653061224489793,0.25
AGE_YEARS,34.62,57,0.08771929824561403,0.6842105263157895,0.3157894736842105,0.28846153846153844,0.4
AGE_YEARS,33.62,57,0.08771929824561403,0.6491228070175439,0.3508771929824561,0.3076923076923077,0.2
AGE_YEARS,46.3,57,0.07017543859649122,0.7017543859649122,0.2982456140350877,0.24528301886792453,0.0
AGE_YEARS,37.88,57,0.12280701754385964,0.7192982456140351,0.2807017543859649,0.2,0.14285714285714285
AGE_YEARS,38.9,57,0.12280701754385964,0.7368421052631579,0.2631578947368421,0.2,0.2857142857142857
AGE_YEARS,43.84,57,0.07017543859649122,0.6666666666666666,0.3333333333333333,0.32075471698113206,0.5
AGE_YEARS,36.84,57,0.05263157894736842,0.543859649122807,0.45614035087719296,0.46296296296296297,0.6666666666666666
AGE_YEARS,46.88,57,0.07017543859649122,0.6666666666666666,0.3333333333333333,0.3018867924528302,0.25
AGE_YEARS,46.62,57,0.10526315789473684,0.7719298245614035,0.22807017543859648,0.19607843137254902,0.5
AGE_YEARS,35.3,57,0.12280701754385964,0.6140350877192983,0.38596491228070173,0.32,0.14285714285714285
AGE_YEARS,39.16,56,0.125,0.7142857142857143,0.2857142857142857,0.22448979591836735,0.2857142857142857
AGE_YEARS,40.34,56,0.07142857142857142,0.7321428571428571,0.26785714285714285,0.2692307692307692,0.75
AGE_YEARS,36.28,56,0.10714285714285714,0.6428571428571429,0.35714285714285715,0.36,0.6666666666666666
AGE_YEARS,35.78,56,0.07142857142857142,0.6607142857142857,0.3392857142857143,0.28846153846153844,0.0
AGE_YEARS,37.4,56,0.07142857142857142,0.7321428571428571,0.26785714285714285,0.2692307692307692,0.75
AGE_YEARS,64.75,56,0.05357142857142857,0.7857142857142857,0.21428571428571427,0.22641509433962265,1.0
AGE_YEARS,34.25,56,0.05357142857142857,0.5892857142857143,0.4107142857142857,0.39622641509433965,0.3333333333333333
AGE_YEARS,41.94,56,0.08928571428571429,0.6785714285714286,0.32142857142857145,0.2549019607843137,0.0
AGE_YEARS,40.4,56,0.14285714285714285,0.6964285714285714,0.30357142857142855,0.2708333333333333,0.5
AGE_YEARS,59.88,56,0.05357142857142857,0.8392857142857143,0.16071428571428573,0.1509433962264151,0.6666666666666666
AGE_YEARS,60.62,56,0.07142857142857142,0.7857142857142857,0.21428571428571427,0.17307692307692307,0.25
AGE_YEARS,33.9,56,0.017857142857142856,0.7321428571428571,0.26785714285714285,0.2545454545454545,0.0
AGE_YEARS,41.22,56,0.08928571428571429,0.6964285714285714,0.30357142857142855,0.2549019607843137,0.2
AGE_YEARS,48.34,55,0.07272727272727272,0.8,0.2,0.13725490196078433,0.0
AGE_YEARS,54.34,55,0.07272727272727272,0.8,0.2,0.17647058823529413,0.5
AGE_YEARS,32.9,55,0.12727272727272726,0.6363636363636364,0.36363636363636365,0.3125,0.2857142857142857
AGE_YEARS,34.9,55,0.10909090909090909,0.6363636363636364,0.36363636363636365,0.2857142857142857,0.0
AGE_YEARS,51.38,55,0.05454545454545454,0.7090909090909091,0.2909090909090909,0.2692307692307692,0.3333333333333333
AGE_YEARS,52.75,55,0.12727272727272726,0.7454545454545455,0.2545454545454545,0.1875,0.2857142857142857
AGE_YEARS,41.4,55,0.07272727272727272,0.8,0.2,0.17647058823529413,0.5
AGE_YEARS,41.84,55,0.05454545454545454,0.7636363636363637,0.23636363636363636,0.21153846153846154,0.3333333333333333
AGE_YEARS,32.2,55,0.09090909090909091,0.5636363636363636,0.43636363636363634,0.4,0.2
AGE_YEARS,40.56,55,0.03636363636363636,0.7636363636363637,0.23636363636363636,0.20754716981132076,0.0
AGE_YEARS,35.0,55,0.07272727272727272,0.6727272727272727,0.32727272727272727,0.27450980392156865,0.0
AGE_YEARS,43.7,55,0.09090909090909091,0.6545454545454545,0.34545454545454546,0.3,0.2
AGE_YEARS,38.66,55,0.07272727272727272,0.7090909090909091,0.2909090909090909,0.3137254901960784,1.0
AGE_YEARS,42.72,55,0.05454545454545454,0.7272727272727273,0.2727272727272727,0.28846153846153844,1.0
AGE_YEARS,37.84,55,0.05454545454545454,0.6727272727272727,0.32727272727272727,0.28846153846153844,0.0
AGE_YEARS,38.25,55,0.10909090909090909,0.7454545454545455,0.2545454545454545,0.20408163265306123,0.3333333333333333
AGE_YEARS,38.28,55,0.23636363636363636,0.5818181818181818,0.41818181818181815,0.30952380952380953,0.23076923076923078
AGE_YEARS,38.2,55,0.10909090909090909,0.7090909090909091,0.2909090909090909,0.2653061224489796,0.5
AGE_YEARS,37.6,55,0.05454545454545454,0.7090909090909091,0.2909090909090909,0.28846153846153844,0.6666666666666666
AGE_YEARS,47.16,55,0.01818181818181818,0.6545454545454545,0.34545454545454546,0.3333333333333333,0.0
AGE_YEARS,49.53,54,0.07407407407407407,0.8333333333333334,0.16666666666666666,0.14,0.5
AGE_YEARS,32.5,54,0.07407407407407407,0.6296296296296297,0.37037037037037035,0.34,0.25
AGE_YEARS,53.56,54,0.037037037037037035,0.8703703703703703,0.12962962962962962,0.11538461538461539,0.5
AGE_YEARS,41.8,54,0.09259259259259259,0.7037037037037037,0.2962962962962963,0.2653061224489796,0.4
AGE_YEARS,36.9,54,0.1111111111111111,0.7222222222222222,0.2777777777777778,0.2708333333333333,0.6666666666666666
AGE_YEARS,57.38,54,0.07407407407407407,0.7962962962962963,0.2037037037037037,0.18,0.5
AGE_YEARS,57.2,54,0.05555555555555555,0.8148148148148148,0.18518518518518517,0.17647058823529413,0.6666666666666666
AGE_YEARS,42.78,54,0.037037037037037035,0.6111111111111112,0.3888888888888889,0.40384615384615385,1.0
AGE_YEARS,38.75,54,0.09259259259259259,0.7962962962962963,0.2037037037037037,0.16326530612244897,0.4
AGE_YEARS,36.34,54,0.12962962962962962,0.5925925925925926,0.4074074074074074,0.3829787234042553,0.42857142857142855
AGE_YEARS,34.4,54,0.05555555555555555,0.5740740740740741,0.42592592592592593,0.39215686274509803,0.0
AGE_YEARS,43.9,54,0.05555555555555555,0.7407407407407407,0.25925925925925924,0.23529411764705882,0.3333333333333333
AGE_YEARS,40.94,54,0.05555555555555555,0.7407407407407407,0.25925925925925924,0.23529411764705882,0.3333333333333333
AGE_YEARS,62.38,53,0.018867924528301886,0.8301886792452831,0.16981132075471697,0.17307692307692307,1.0
AGE_YEARS,39.28,53,0.09433962264150944,0.5660377358490566,0.4339622641509434,0.375,0.0
AGE_YEARS,39.84,53,0.1320754716981132,0.7547169811320755,0.24528301886792453,0.1956521739130435,0.42857142857142855
AGE_YEARS,59.75,53,0.05660377358490566,0.7924528301886793,0.20754716981132076,0.18,0.3333333333333333
AGE_YEARS,61.62,53,0.05660377358490566,0.8301886792452831,0.16981132075471697,0.18,1.0
AGE_YEARS,53.53,53,0.018867924528301886,0.7547169811320755,0.24528301886792453,0.23076923076923078,0.0
AGE_YEARS,53.9,53,0.09433962264150944,0.6981132075471698,0.3018867924528302,0.25,0.2
AGE_YEARS,36.16,53,0.03773584905660377,0.7547169811320755,0.24528301886792453,0.23529411764705882,0.5
AGE_YEARS,38.94,53,0.11320754716981132,0.6415094339622641,0.3584905660377358,0.3191489361702128,0.3333333333333333
AGE_YEARS,39.3,53,0.1509433962264151,0.5660377358490566,0.4339622641509434,0.37777777777777777,0.25
AGE_YEARS,39.06,53,0.07547169811320754,0.6981132075471698,0.3018867924528302,0.30612244897959184,0.75
AGE_YEARS,45.84,53,0.09433962264150944,0.660377358490566,0.33962264150943394,0.2916666666666667,0.2
AGE_YEARS,45.78,53,0.07547169811320754,0.5471698113207547,0.4528301886792453,0.40816326530612246,0.0
AGE_YEARS,50.34,53,0.09433962264150944,0.7547169811320755,0.24528301886792453,0.20833333333333334,0.4
AGE_YEARS,32.06,53,0.07547169811320754,0.5283018867924528,0.4716981132075472,0.46938775510204084,0.5
AGE_YEARS,42.56,53,0.09433962264150944,0.7924528301886793,0.20754716981132076,0.16666666666666666,0.4
AGE_YEARS,36.56,53,0.09433962264150944,0.6415094339622641,0.3584905660377358,0.3333333333333333,0.4
AGE_YEARS,34.03,53,0.018867924528301886,0.660377358490566,0.33962264150943394,0.3269230769230769,0.0
AGE_YEARS,45.16,53,0.05660377358490566,0.5094339622641509,0.49056603773584906,0.48,0.3333333333333333
AGE_YEARS,36.44,53,0.09433962264150944,0.6792452830188679,0.32075471698113206,0.2708333333333333,0.2
AGE_YEARS,39.97,53,0.07547169811320754,0.5660377358490566,0.4339622641509434,0.3877551020408163,0.0
AGE_YEARS,36.22,53,0.07547169811320754,0.5471698113207547,0.4528301886792453,0.40816326530612246,0.0
AGE_YEARS,44.0,53,0.1320754716981132,0.7735849056603774,0.22641509433962265,0.17391304347826086,0.42857142857142855
AGE_YEARS,44.1,53,0.09433962264150944,0.7735849056603774,0.22641509433962265,0.1875,0.4
